threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR
1,4,30,0.122012,95.4252
1,4,31,0.131607,99.3849
1,4,32,0.155276,101.484
1,4,33,0.11148,106.574
1,4,34,0.114531,107.913
1,4,35,0.114933,112.799
1,4,36,0.114744,114.401
1,4,37,0.115154,120.262
1,4,38,0.129316,120.534
1,4,39,0.114912,125.36
1,4,40,0.112921,127.62
1,4,41,0.152547,131.992
1,4,42,0.121252,135.369
1,4,43,0.118247,139.705
1,4,44,0.126685,140.377
1,4,45,0.124943,144.499
1,4,46,0.114261,146.976
1,4,47,0.116733,150.419
1,4,48,0.118285,152.526
1,4,49,0.131108,156.724
1,5,1,0.125827,3.47137
1,5,2,0.121939,6.71207
1,5,3,0.10153,10.1821
1,5,4,0.170365,13.0811
1,5,5,0.123017,16.4931
1,5,6,0.202116,19.6652
1,5,7,0.189368,23.0188
1,5,8,0.201315,25.8691
1,5,9,0.145781,29.4689
1,5,10,0.146782,32.6253
1,5,11,0.185165,35.5244
1,5,12,0.202338,38.3693
1,5,13,0.213631,42.2381
1,5,14,0.193277,44.7536
1,5,15,0.174924,48.4681
1,5,16,0.193939,51.3226
1,5,17,0.204336,54.8207
1,5,18,0.178934,57.2458
1,5,19,0.205121,61.5308
1,5,20,0.202674,63.6092
1,5,21,0.190672,68.2069
1,5,22,0.203366,70.3035
1,5,23,0.211947,75.0964
1,5,24,0.204785,76.8618
1,5,25,0.202127,81.5226
1,5,26,0.19407,83.231
1,5,27,0.191798,87.3137
1,5,28,0.213525,88.7824
1,5,29,0.209111,94.1021
1,5,30,0.144395,95.6234
1,5,31,0.184425,99.9386
1,5,32,0.199583,102.158
1,5,33,0.190443,106.615
1,5,34,0.203439,109.04
1,5,35,0.221127,113.048
1,5,36,0.20343,113.964
1,5,37,0.205481,119.317
1,5,38,0.206336,120.792
1,5,39,0.195026,125.013
1,5,40,0.195504,127.39
1,5,41,0.199107,132.766
1,5,42,0.195208,133.346
1,5,43,0.173221,139.157
